"cell","n","n_used","pct_censored","lambda","r_observed","r_predicted"
"highE Bangladesh",401,397,1,0.378568523118808,0.626445953350348,0.806522027923117
"highE Pakistan",494,312,36.8,0.0921587343835148,0.509920073918443,0.793594972635201
"highE Nepal",580,230,60.3,0.0496687239354311,0.531922395069523,0.7962010627475
"lowE Bangladesh",596,550,7.7,0.213238810504623,0.402719069305228,0.802394174955857
"lowE Pakistan",300,120,60,0.0567033545488083,0.172399334607782,0.781557131551135
"lowE Nepal",242,81,66.5,0.0435068111402576,0.376320383911492,0.795969643779184
