"scenario","true_rho_B","n_reps","mean_estimate","bias","rmse","coverage_95","mean_ci_width","total_divergent","pct_divergent","median_runtime_min"
"A",0.6,194,-0.227732144118041,-0.827732144118041,0.827732144118041,0.742268041237113,1.29182966536765,1233,73.1958762886598,25.9728226721287
"B",0.6,200,0.380231723447,-0.219768276553,0.219768276553,0.95,1.15976967574312,1502,70,7.10086434284846
"C",0,200,-0.296766660221,-0.296766660221,0.296766660221,0.875,1.00259073234101,1393,68,25.64933710893
