"grid","scheme","n_int","seeds","coverage","width","bias","mcse","z","verdict"
"alt","all",500,100,0.926,0.79569601233704,-0.0526688611767902,0.0117067501895274,2.22094087420256,"outside"
"alt","lp",500,100,0.936,0.2385481849756,-0.0269711498167902,0.0109456840809517,3.28896757240136,"outside"
"alt","stacking",500,100,0.932,0.2313710402062,-0.0305212879267902,0.0112584190719657,2.84231736227358,"outside"
"null","all",500,100,0.98,0.586875881429546,0.007808750408262,0.00626099033699941,12.7775312999988,"outside"
"null","lp",500,100,0.958,0.57781329168658,0.0097393345247,0.00897061870775924,6.46555180746142,"outside"
"null","stacking",500,100,0.954,0.57525297480415,0.0099791789918,0.00936845771725528,5.7640223855139,"outside"
