"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"T",0,0,-3296.210817348,88.8718096672397,1424.85368664092,46.9986225881229,6592.421634696,177.743619334479
"S",-340.701498796546,44.118819614437,-3636.91231614454,81.1610961887321,1576.62431732196,50.812009603998,7273.82463228908,162.322192377464
